system,li,ui,p95,count
bookstore_nodejs, 32.0, 33.0 , 32 , 1720
bookstore_nodejs, 13270.0, 13286.0 , 13270 , 500
bookstore_nodejs, 28.0, 28.0 , 28 , 487
bookstore_nodejs, 41.0, 42.0 , 41.5 , 490
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 3332.0, 3335.0 , 3332.5 , 1748
bookstore_nodejs, 309.0, 333.0 , 331.5 , 1756
bookstore_nodejs, 251.0, 283.0 , 269 , 1780
bookstore_nodejs, 536.0, 541.0 , 537.5 , 2659
bookstore_nodejs, 95.0, 100.0 , 98.5 , 2653
bookstore_nodejs, 108.0, 108.0 , 108 , 2723
bookstore_nodejs, 124.0, 129.0 , 125 , 2818
bookstore_nodejs, 179.0, 179.0 , 179 , 2742
bookstore_nodejs, 107.0, 109.0 , 107.5 , 2742
bookstore_nodejs, 230.0, 231.0 , 230 , 2698
bookstore_nodejs, 209.0, 210.0 , 209 , 2682
bookstore_nodejs, 213.0, 217.0 , 215.5 , 2779
bookstore_nodejs, 165.0, 165.0 , 165 , 1747
bookstore_nodejs, 2512.0, 2683.0 , 2517.5 , 1729
bookstore_nodejs, 2562.0, 2678.0 , 2572 , 1755
bookstore_nodejs, 221.0, 223.0 , 221.5 , 2785
bookstore_nodejs, 58.0, 58.0 , 58 , 2779
bookstore_nodejs, 65.0, 66.0 , 66 , 2871
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 370.0, 442.0 , 377.5 , 1373
bookstore_nodejs, 174.0, 178.0 , 174.5 , 1365
bookstore_nodejs, 6296.0, 6392.0 , 6352 , 1374
bookstore_nodejs, 5796.0, 5803.0 , 5800 , 1814
bookstore_nodejs, 348.0, 353.0 , 350 , 1796
bookstore_nodejs, 346.0, 354.0 , 346 , 1826
bookstore_nodejs, 14.0, 14.0 , 14 , 2864
bookstore_nodejs, 18.0, 18.0 , 18 , 2950
bookstore_nodejs, 161.0, 161.0 , 161 , 2855
bookstore_nodejs, 211.0, 214.0 , 213 , 2833
bookstore_nodejs, 14.0, 14.0 , 14 , 2845
bookstore_nodejs, 17.0, 18.0 , 17 , 2941
bookstore_nodejs, 201.0, 201.0 , 201 , 2833
bookstore_nodejs, 15.0, 16.0 , 15.5 , 2852
bookstore_nodejs, 19.0, 19.0 , 19 , 2942
bookstore_nodejs, 215.0, 216.0 , 216 , 2836
bookstore_nodejs, 16.0, 16.0 , 16 , 2845
bookstore_nodejs, 21.0, 21.0 , 21 , 2938
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 3332.0, 3335.0 , 3332.5 , 1748
bookstore_nodejs, 309.0, 333.0 , 331.5 , 1756
bookstore_nodejs, 251.0, 283.0 , 269 , 1780
bookstore_nodejs, 105.0, 105.0 , 105 , 2867
bookstore_nodejs, 19.0, 19.0 , 19 , 2873
bookstore_nodejs, 24.0, 24.0 , 24 , 2959
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 174.0, 178.0 , 174.5 , 1365
bookstore_nodejs, 6296.0, 6392.0 , 6352 , 1374
bookstore_nodejs, 370.0, 442.0 , 377.5 , 1373
bookstore_nodejs, 348.0, 353.0 , 350 , 1796
bookstore_nodejs, 346.0, 354.0 , 346 , 1826
bookstore_nodejs, 5796.0, 5803.0 , 5800 , 1814
bookstore_nodejs, 1743.0, 1748.0 , 1744 , 2307
bookstore_nodejs, 38.0, 38.0 , 38 , 2313
bookstore_nodejs, 49.0, 50.0 , 49 , 2372
bookstore_nodejs, 38.0, 39.0 , 38 , 2721
bookstore_nodejs, 49.0, 50.0 , 49 , 2801
bookstore_nodejs, 477.0, 479.0 , 478 , 2715
bookstore_nodejs, 250.0, 252.0 , 251.5 , 2776
bookstore_nodejs, 50.0, 51.0 , 51 , 2766
bookstore_nodejs, 55.0, 56.0 , 55 , 2862
bookstore_nodejs, 58.0, 59.0 , 58.5 , 2779
bookstore_nodejs, 71.0, 72.0 , 71 , 2873
bookstore_nodejs, 194.0, 195.0 , 194.5 , 2784
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 39.0, 42.0 , 39.5 , 485
bookstore_nodejs, 16741.0, 16784.0 , 16760 , 495
bookstore_nodejs, 32.0, 35.0 , 33 , 495
bookstore_nodejs, 3142.0, 3147.0 , 3142.5 , 1789
bookstore_nodejs, 32.0, 32.0 , 32 , 1806
bookstore_nodejs, 39.0, 40.0 , 39.5 , 1845
bookstore_nodejs, 8882.0, 8890.0 , 8883.5 , 884
bookstore_nodejs, 30.0, 30.0 , 30 , 879
bookstore_nodejs, 38.0, 38.0 , 38 , 897
bookstore_nodejs, 1361.0, 1365.0 , 1361 , 1756
bookstore_nodejs, 1246.0, 1249.0 , 1246 , 1761
bookstore_nodejs, 1265.0, 1270.0 , 1267.5 , 1792
bookstore_nodejs, 6154.0, 6170.0 , 6156.5 , 1551
bookstore_nodejs, 33.0, 34.0 , 33.5 , 1563
bookstore_nodejs, 40.0, 40.0 , 40 , 1576
bookstore_nodejs, 12345.0, 12365.0 , 12353 , 650
bookstore_nodejs, 84.0, 85.0 , 84.5 , 636
bookstore_nodejs, 85.0, 90.0 , 87.5 , 619
bookstore_nodejs, 3332.0, 3335.0 , 3332.5 , 1748
bookstore_nodejs, 309.0, 333.0 , 331.5 , 1756
bookstore_nodejs, 251.0, 283.0 , 269 , 1780
bookstore_nodejs, 77.0, 79.0 , 77.5 , 663
bookstore_nodejs, 73.0, 76.0 , 73 , 652
bookstore_nodejs, 11691.0, 11699.0 , 11691.5 , 689
bookstore_nodejs, 167.0, 168.0 , 167 , 2296
bookstore_nodejs, 1257.0, 1297.0 , 1266.5 , 2288
bookstore_nodejs, 1254.0, 1273.0 , 1259.5 , 2327
bookstore_nodejs, 1498.0, 1542.0 , 1510 , 1642
bookstore_nodejs, 1492.0, 1523.0 , 1498 , 1685
bookstore_nodejs, 1463.0, 1467.0 , 1463.5 , 1643
bookstore_nodejs, 4950.0, 4955.0 , 4951.5 , 1306
bookstore_nodejs, 161.0, 162.0 , 161 , 1287
bookstore_nodejs, 4904.0, 4925.0 , 4906 , 1289
bookstore_nodejs, 16716.0, 16737.0 , 16723 , 484
bookstore_nodejs, 32.0, 33.0 , 32.5 , 486
bookstore_nodejs, 34.0, 35.0 , 34.5 , 476
bookstore_nodejs, 30029.0, 30082.0 , 30045.5 , 284
bookstore_nodejs, 32.0, 34.0 , 32 , 269
bookstore_nodejs, 59.0, 62.0 , 58.5 , 262
bookstore_nodejs, 20608.0, 20623.0 , 20613 , 406
bookstore_nodejs, 27.0, 28.0 , 27 , 400
bookstore_nodejs, 35.0, 36.0 , 35 , 405
bookstore_nodejs, 18863.0, 18911.0 , 18886 , 435
bookstore_nodejs, 27.0, 27.0 , 27 , 446
bookstore_nodejs, 35.0, 36.0 , 35.5 , 437
bookstore_nodejs, 16555.0, 16564.0 , 16555 , 500
bookstore_nodejs, 32.0, 32.0 , 32 , 496
bookstore_nodejs, 40.0, 40.0 , 40 , 483
bookstore_nodejs, 732.0, 745.0 , 737 , 1646
bookstore_nodejs, 3674.0, 3681.0 , 3676 , 1639
bookstore_nodejs, 769.0, 781.0 , 772.5 , 1641
bookstore_nodejs, 1307.0, 1364.0 , 1311.5 , 2358
bookstore_nodejs, 254.0, 256.0 , 255 , 2313
bookstore_nodejs, 1342.0, 1353.0 , 1343 , 2303
bookstore_nodejs, 1020.0, 1096.0 , 1048 , 2447
bookstore_nodejs, 1057.0, 1111.0 , 1099.5 , 2498
bookstore_nodejs, 170.0, 170.0 , 170 , 2444
bookstore_nodejs, 10594.0, 10596.0 , 10595 , 853
bookstore_nodejs, 93.0, 96.0 , 93.5 , 835
bookstore_nodejs, 96.0, 99.0 , 98 , 840
bookstore_nodejs, 165.0, 165.0 , 165 , 1934
bookstore_nodejs, 2048.0, 2126.0 , 2084 , 1931
bookstore_nodejs, 2152.0, 2164.0 , 2152 , 1963
bookstore_nodejs, 1557.0, 1563.0 , 1557 , 2309
bookstore_nodejs, 483.0, 487.0 , 483.5 , 2326
bookstore_nodejs, 488.0, 490.0 , 489 , 2363
bookstore_nodejs, 417.0, 420.0 , 418 , 2742
bookstore_nodejs, 60.0, 62.0 , 60.5 , 2733
bookstore_nodejs, 66.0, 67.0 , 66 , 2823
bookstore_nodejs, 4505.0, 4510.0 , 4506.5 , 1476
bookstore_nodejs, 1270.0, 1288.0 , 1276 , 1467
bookstore_nodejs, 1346.0, 1354.0 , 1346.5 , 1490
muck_star-small, 377.0, 398.0 , 382.5 , 191
muck_star-small, 331.0, 356.0 , 343 , 586
muck_star-small, 358.0, 367.0 , 362 , 326
muck_star-small, 291.0, 332.0 , 308.5 , 193
muck_star-small, 264.0, 269.0 , 266.5 , 337
muck_star-small, 167.0, 184.0 , 175 , 197
muck_star-small, 224.0, 232.0 , 226 , 199
muck_star-small, 231.0, 237.0 , 231 , 603
muck_star-small, 264.0, 266.0 , 265 , 335
muck_star-small, 178.0, 180.0 , 178.5 , 197
muck_star-small, 230.0, 232.0 , 231 , 199
muck_star-small, 253.0, 256.0 , 253.5 , 603
muck_star-small, 331.0, 356.0 , 343 , 586
muck_star-small, 358.0, 367.0 , 362 , 326
muck_star-small, 291.0, 332.0 , 308.5 , 193
muck_star-small, 377.0, 398.0 , 382.5 , 191
muck_star-small, 253.0, 256.0 , 253.5 , 603
muck_star-small, 264.0, 266.0 , 265 , 335
muck_star-small, 178.0, 180.0 , 178.5 , 197
muck_star-small, 230.0, 232.0 , 231 , 199
muck_star-small, 424.0, 434.0 , 424 , 584
muck_star-small, 438.0, 451.0 , 439.5 , 326
muck_star-small, 270.0, 281.0 , 272 , 190
muck_star-small, 299.0, 320.0 , 302.5 , 191
muck_star-small, 331.0, 356.0 , 343 , 586
muck_star-small, 358.0, 367.0 , 362 , 326
muck_star-small, 291.0, 332.0 , 308.5 , 193
muck_star-small, 377.0, 398.0 , 382.5 , 191
muck_star-small, 329.0, 338.0 , 330 , 191
muck_star-small, 419.0, 445.0 , 429.5 , 584
muck_star-small, 486.0, 491.0 , 487.5 , 325
muck_star-small, 214.0, 218.0 , 216 , 192
muck_star-small, 213.0, 215.0 , 213.5 , 605
muck_star-small, 174.0, 179.0 , 174 , 340
muck_star-small, 232.0, 237.0 , 232.5 , 197
muck_star-small, 278.0, 284.0 , 275 , 201
muck_star-small, 331.0, 356.0 , 343 , 586
muck_star-small, 358.0, 367.0 , 362 , 326
muck_star-small, 291.0, 332.0 , 308.5 , 193
muck_star-small, 377.0, 398.0 , 382.5 , 191
muck_star-small, 334.0, 450.0 , 381.5 , 192
muck_star-small, 342.0, 346.0 , 343.5 , 589
muck_star-small, 404.0, 419.0 , 406 , 327
muck_star-small, 234.0, 263.0 , 235 , 195
muck_star-small, 266.0, 273.0 , 266 , 200
muck_star-small, 205.0, 209.0 , 206 , 608
muck_star-small, 163.0, 165.0 , 163 , 340
muck_star-small, 236.0, 245.0 , 240 , 199
muck_star-small, 1382.0, 1412.0 , 1389.5 , 391
muck_star-small, 3887.0, 7101.0 , 5473 , 214
muck_star-small, 1037.0, 3036.0 , 1097 , 128
muck_star-small, 3043.0, 7145.0 , 3539 , 133
muck_star-small, 1139.0, 3058.0 , 1110 , 185
muck_star-small, 1081.0, 1113.0 , 1089.5 , 192
muck_star-small, 7051.0, 7090.0 , 7053.5 , 571
muck_star-small, 6421.0, 7041.0 , 6700.5 , 317
muck_star-small, 140.0, 143.0 , 142 , 1236
muck_star-small, 146.0, 149.0 , 147.5 , 695
muck_star-small, 110.0, 118.0 , 111 , 415
muck_star-small, 168.0, 170.0 , 168 , 410
muck_star-small, 146.0, 147.0 , 146.5 , 694
muck_star-small, 125.0, 127.0 , 125.5 , 415
muck_star-small, 185.0, 195.0 , 187 , 410
muck_star-small, 141.0, 143.0 , 142 , 1237
muck_star-small, 147.0, 148.0 , 147 , 1234
muck_star-small, 151.0, 153.0 , 151.5 , 693
muck_star-small, 131.0, 132.0 , 131 , 414
muck_star-small, 182.0, 183.0 , 182.5 , 409
muck_star-small, 1382.0, 1412.0 , 1389.5 , 391
muck_star-small, 3887.0, 7101.0 , 5473 , 214
muck_star-small, 1037.0, 3036.0 , 1097 , 128
muck_star-small, 3043.0, 7145.0 , 3539 , 133
muck_star-small, 935.0, 1024.0 , 966.5 , 633
muck_star-small, 3040.0, 3043.0 , 3041 , 346
muck_star-small, 1043.0, 1108.0 , 1047.5 , 210
muck_star-small, 1035.0, 1049.0 , 1036 , 209
muck_star-small, 3039.0, 3099.0 , 3050.5 , 188
muck_star-small, 1225.0, 3036.0 , 1226.5 , 194
muck_star-small, 7049.0, 7517.0 , 7070.5 , 584
muck_star-small, 3599.0, 7043.0 , 3326 , 321
muck_star-small, 1103.0, 3034.0 , 1104.5 , 732
muck_star-small, 1081.0, 1116.0 , 1093.5 , 406
muck_star-small, 1068.0, 1097.0 , 1067 , 241
muck_star-small, 1051.0, 1073.0 , 1053 , 239
muck_star-small, 152.0, 154.0 , 152.5 , 1229
muck_star-small, 166.0, 169.0 , 166.5 , 692
muck_star-small, 133.0, 140.0 , 133.5 , 413
muck_star-small, 191.0, 198.0 , 191.5 , 409
muck_star-small, 146.0, 147.0 , 146.5 , 1233
muck_star-small, 146.0, 147.0 , 146 , 694
muck_star-small, 118.0, 120.0 , 119 , 414
muck_star-small, 194.0, 196.0 , 194 , 411
muck_star-small, 185.0, 189.0 , 186 , 408
muck_star-small, 151.0, 152.0 , 151 , 1232
muck_star-small, 150.0, 152.0 , 151 , 691
muck_star-small, 131.0, 136.0 , 132 , 413
muck_star-small, 133.0, 135.0 , 133 , 412
muck_star-small, 178.0, 181.0 , 178.5 , 407
muck_star-small, 152.0, 154.0 , 152.5 , 1230
muck_star-small, 161.0, 166.0 , 163.5 , 689
muck_star-small, 255.0, 257.0 , 255.5 , 1213
muck_star-small, 219.0, 222.0 , 220.5 , 679
muck_star-small, 212.0, 220.0 , 214 , 402
muck_star-small, 298.0, 303.0 , 298.5 , 405
muck_star-small, 1382.0, 1412.0 , 1389.5 , 391
muck_star-small, 3887.0, 7101.0 , 5473 , 214
muck_star-small, 1037.0, 3036.0 , 1097 , 128
muck_star-small, 3043.0, 7145.0 , 3539 , 133
muck_star-small, 1035.0, 1037.0 , 1035.5 , 272
muck_star-small, 1040.0, 1042.0 , 1040.5 , 828
muck_star-small, 1036.0, 1037.0 , 1036.5 , 466
muck_star-small, 1034.0, 1039.0 , 1035 , 267
muck_star-small, 142.0, 145.0 , 143 , 1220
muck_star-small, 256.0, 267.0 , 257.5 , 685
muck_star-small, 119.0, 123.0 , 120 , 408
muck_star-small, 280.0, 290.0 , 284.5 , 405
muck_star-small, 1382.0, 1412.0 , 1389.5 , 391
muck_star-small, 3887.0, 7101.0 , 5473 , 214
muck_star-small, 1037.0, 3036.0 , 1097 , 128
muck_star-small, 3043.0, 7145.0 , 3539 , 133
muck_star-small, 4853.0, 7042.0 , 5309.5 , 576
muck_star-small, 3051.0, 7041.0 , 4715.5 , 317
muck_star-small, 4051.0, 5504.0 , 3551.5 , 184
muck_star-small, 1214.0, 3037.0 , 2124 , 189
muck_star-small, 3048.0, 3067.0 , 3054 , 315
muck_star-small, 3040.0, 3072.0 , 3039.5 , 181
muck_star-small, 1088.0, 3061.0 , 2067.5 , 190
muck_star-small, 1098.0, 1661.0 , 1101 , 567
muck_star-small, 121.0, 124.0 , 121.5 , 415
muck_star-small, 162.0, 163.0 , 162 , 409
muck_star-small, 138.0, 139.0 , 138.5 , 1234
muck_star-small, 151.0, 152.0 , 151 , 694
muck_star-small, 1287.0, 1292.0 , 1289.5 , 897
muck_star-small, 452.0, 459.0 , 455.5 , 537
muck_star-small, 527.0, 532.0 , 529.5 , 534
muck_star-small, 1283.0, 1292.0 , 1284 , 1610
muck_star-small, 218.0, 223.0 , 218 , 1325
muck_star-small, 388.0, 388.0 , 388 , 795
muck_star-small, 381.0, 384.0 , 381.5 , 786
muck_star-small, 255.0, 257.0 , 255.5 , 2394
muck_star-small, 123.0, 124.0 , 123.5 , 2450
muck_star-small, 136.0, 138.0 , 136.5 , 1366
muck_star-small, 297.0, 299.0 , 297 , 818
muck_star-small, 339.0, 340.0 , 339.5 , 811
muck_star-small, 122.0, 122.0 , 122 , 1392
muck_star-small, 103.0, 105.0 , 103 , 830
muck_star-small, 148.0, 151.0 , 148.5 , 828
muck_star-small, 123.0, 124.0 , 123 , 2499
muck_star-small, 149.0, 150.0 , 149 , 2484
muck_star-small, 156.0, 157.0 , 156.5 , 1381
muck_star-small, 111.0, 112.0 , 111.5 , 826
muck_star-small, 144.0, 149.0 , 145 , 822
muck_star-small, 163.0, 164.0 , 163 , 2474
muck_star-small, 163.0, 164.0 , 164 , 1377
muck_star-small, 119.0, 120.0 , 119 , 823
muck_star-small, 160.0, 161.0 , 161 , 818
muck_star-small, 153.0, 154.0 , 153.5 , 787
muck_star-small, 269.0, 270.0 , 269 , 2387
muck_star-small, 266.0, 267.0 , 266.5 , 1328
muck_star-small, 122.0, 123.0 , 122.5 , 795
muck_star-small, 1283.0, 1292.0 , 1284 , 1610
muck_star-small, 1287.0, 1292.0 , 1289.5 , 897
muck_star-small, 452.0, 459.0 , 455.5 , 537
muck_star-small, 527.0, 532.0 , 529.5 , 534
muck_star-small, 266.0, 268.0 , 266.5 , 1302
muck_star-small, 387.0, 394.0 , 391 , 778
muck_star-small, 456.0, 467.0 , 457.5 , 776
muck_star-small, 271.0, 271.0 , 271 , 2351
muck_star-small, 172.0, 173.0 , 172 , 2433
muck_star-small, 173.0, 176.0 , 173.5 , 1347
muck_star-small, 344.0, 354.0 , 344 , 806
muck_star-small, 379.0, 401.0 , 382 , 801
muck_star-small, 165.0, 166.0 , 165 , 2471
muck_star-small, 161.0, 162.0 , 161 , 1370
muck_star-small, 115.0, 117.0 , 115.5 , 823
muck_star-small, 171.0, 172.0 , 171 , 818
muck_star-small, 260.0, 263.0 , 260.5 , 2389
muck_star-small, 269.0, 270.0 , 269 , 1325
muck_star-small, 136.0, 137.0 , 136 , 796
muck_star-small, 180.0, 182.0 , 181 , 790
muck_star-small, 209.0, 211.0 , 210 , 774
muck_star-small, 290.0, 291.0 , 290.5 , 2346
muck_star-small, 279.0, 282.0 , 282 , 1299
muck_star-small, 189.0, 193.0 , 191 , 779
muck_star-small, 228.0, 228.0 , 228 , 736
muck_star-small, 417.0, 419.0 , 417.5 , 2257
muck_star-small, 433.0, 438.0 , 436.5 , 1256
muck_star-small, 195.0, 197.0 , 195 , 751
muck_star-small, 1287.0, 1292.0 , 1289.5 , 897
muck_star-small, 452.0, 459.0 , 455.5 , 537
muck_star-small, 527.0, 532.0 , 529.5 , 534
muck_star-small, 1283.0, 1292.0 , 1284 , 1610
muck_star-small, 401.0, 406.0 , 403 , 788
muck_star-small, 394.0, 397.0 , 394 , 780
muck_star-small, 308.0, 311.0 , 308.5 , 2379
muck_star-small, 235.0, 240.0 , 238 , 1319
muck_star-small, 113.0, 115.0 , 113.5 , 2452
muck_star-small, 117.0, 118.0 , 117 , 1359
muck_star-small, 341.0, 347.0 , 344.5 , 818
muck_star-small, 353.0, 354.0 , 353 , 810
muck_star-small, 105.0, 106.0 , 105 , 2503
muck_star-small, 111.0, 112.0 , 112 , 1394
muck_star-small, 108.0, 111.0 , 108.5 , 831
muck_star-small, 143.0, 146.0 , 143.5 , 829
muck_star-small, 527.0, 532.0 , 529.5 , 534
muck_star-small, 1283.0, 1292.0 , 1284 , 1610
muck_star-small, 1287.0, 1292.0 , 1289.5 , 897
muck_star-small, 452.0, 459.0 , 455.5 , 537
muck_star-small, 255.0, 257.0 , 255.5 , 2394
muck_star-small, 218.0, 223.0 , 218 , 1325
muck_star-small, 388.0, 388.0 , 388 , 795
muck_star-small, 381.0, 384.0 , 381.5 , 786
muck_star-small, 126.0, 126.0 , 126 , 2451
muck_star-small, 127.0, 128.0 , 127 , 1365
muck_star-small, 329.0, 332.0 , 329.5 , 813
muck_star-small, 363.0, 376.0 , 365.5 , 809
muck_star-small, 136.0, 138.0 , 137 , 830
muck_star-small, 122.0, 123.0 , 122 , 2498
muck_star-small, 116.0, 119.0 , 118 , 1393
muck_star-small, 94.0, 95.0 , 94 , 831